cmpdname,BoilingPoint,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
Pinacol,447.15,118.17,40.5,8,2,6,0,2,4,0,0,Alcohol
3-Methyl-3-pentanol,402.15,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
3-Methyl-1-pentyn-3-ol,393.15,98.14,20.2,7,1,6,0,1,2,0,1,Alcohol
"3,7-Dimethyloctan-3-ol",478.25,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
Linalool,470.15,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
Isopentane,300.98,72.15,0,5,0,5,0,0,1,0,0,Hydrocarbon
Isoprene,307.15,68.12,0,5,0,5,0,0,1,2,0,Hydrocarbon
Isobutylamine,341.95,73.14,26,5,1,4,1,0,1,0,0,Amine
Isobutanol,380.99,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol
2-Butanol,372.55,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol
"2,3-Dimethylbutane",331.15,86.18,0,6,0,6,0,0,2,0,0,Hydrocarbon
Xylitol,653.15,152.15,101,10,5,5,0,5,4,0,0,Alcohol
"2-Ethyl-1,3-hexanediol",516.15,146.23,40.5,10,2,8,0,2,2,0,0,Alcohol
3-Methylpentane,336.45,86.18,0,6,0,6,0,0,1,0,0,Hydrocarbon
2-Methylbutylamine,368.70133,87.16,26,6,1,5,1,0,1,0,0,Amine
"N,N,N',N'-Tetramethyl-1,3-butanediamine",438.2,144.26,6.5,10,2,8,2,0,3,0,0,Amine
Triethylborane,368.15,98,0,7,0,6,0,0,2,0,0,Hydrocarbon
2-Ethyl-1-butanol,428.15,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
Tripropylamine,426.15,143.27,3.2,10,1,9,1,0,1,0,0,Amine
Triallylamine,423.15,137.22,3.2,10,1,9,1,0,1,3,0,Amine
Tributylamine,480.15,185.35,3.2,13,1,12,1,0,1,0,0,Amine
Tridodecylamine,721.15,522,3.2,37,1,36,1,0,1,0,0,Amine
5-Ethyl-2-nonanol,498.15,172.31,20.2,12,1,11,0,1,2,0,0,Alcohol
2-Ethylhexylamine,445.15,129.24,26,9,1,8,1,0,1,0,0,Amine
2-Ethylhexan-1-ol,459.35,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
2-Methyl-1-pentanol,430.15,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
"1,3-Dimethylpentylamine",405.65,115.22,26,8,1,7,1,0,2,0,0,Amine
"N,N-Bis(3-aminopropyl)methylamine",505.15,145.25,55.3,10,3,7,3,0,1,0,0,Amine
Bis(2-ethylhexyl)amine,554.25,241.46,12,17,1,16,1,0,2,0,0,Amine
"3,7-Dimethyloctan-1-ol",497.15,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
(-)-Citronellol,497.15,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol
2-Ethyl-4-methylpentan-1-ol,449.65,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"1,2,6-Hexanetriol",443.15,134.17,60.7,9,3,6,0,3,2,0,0,Alcohol
Butane,272.65,58.12,0,4,0,4,0,0,0,0,0,Hydrocarbon
1-Butene,266.85,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon
"1,3-Butadiene",268.55,54.09,0,4,0,4,0,0,0,2,0,Hydrocarbon
1-Butyne,281.25,54.09,0,4,0,4,0,0,0,0,1,Hydrocarbon
Propylamine,320.36,59.11,26,4,1,3,1,0,0,0,0,Amine
Allylamine,327.15,57.09,26,4,1,3,1,0,0,1,0,Amine
Allyl alcohol,370.05,58.08,20.2,4,1,3,0,1,0,1,0,Alcohol
Propargyl alcohol,386.15,56.06,20.2,4,1,3,0,1,0,0,1,Alcohol
"2,4,4-Trimethyl-1-pentene",374.45,112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"2,4,4-Trimethyl-2-pentene",378.05,112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
Hexylene glycol,471.05,118.17,40.5,8,2,6,0,2,3,0,0,Alcohol
2-Methylpentane,333.36,86.18,0,6,0,6,0,0,1,0,0,Hydrocarbon
Isoamylamine,369.15,87.16,26,6,1,5,1,0,1,0,0,Amine
"1,3-Butanediol",481.35,90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
1-Methoxy-2-propanol,393.15,90.12,29.5,6,2,4,0,2,1,0,0,Alcohol
"2,4-Dimethylpentane",353.55,100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
"1,3-Dimethylbutylamine",381.95884,101.19,26,7,1,6,1,0,2,0,0,Amine
4-Methyl-2-pentanol,405.15,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
Diisopropylamine,357.15,101.19,12,7,1,6,1,0,2,0,0,Amine
"2,6-Dimethylheptan-4-ol",466.15,144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
3-Hexyn-2-OL,353.15,98.14,20.2,7,1,6,0,1,1,0,1,Alcohol
3-(Dimethylamino)propylamine,402.15,102.18,29.3,7,2,5,2,0,1,0,0,Amine
2-Isopropoxyethanol,414.75,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
Pentane,309.21,72.15,0,5,0,5,0,0,0,0,0,Hydrocarbon
1-Pentene,303.15,70.13,0,5,0,5,0,0,0,1,0,Hydrocarbon
Butylamine,350.15,73.14,26,5,1,4,1,0,0,0,0,Amine
N-Methylethylenediamine,388.65,74.13,38,5,2,3,2,0,0,0,0,Amine
2-Methoxyethanol,397.45,76.09,29.5,5,2,3,0,2,0,0,0,Alcohol
Diethylamine,328.55,73.14,12,5,1,4,1,0,0,0,0,Amine
"2,5-Dimethyl-2,5-hexanediol",506.15,146.23,40.5,10,2,8,0,2,4,0,0,Alcohol
"N,N,N',N'-Tetramethylethylenediamine",394.15,116.2,6.5,8,2,6,2,0,2,0,0,Amine
